L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
77.0043,77.1472,56.8945,0.0649142,5.58142,19.3873,83.1562,0.00144483,30.6451,44.568,34.6971,1.10716e-05,4.90658,18.7638,7.11237,1.38591e-08,1.69819,0.873576,5.99107,1.67793
77.0052,77.1472,56.8945,0.0649142,5.5814,19.3873,83.1562,0.00144483,30.646,44.568,34.6971,1.10716e-05,4.90656,18.7638,7.11237,1.38591e-08,1.69819,0.873572,5.99107,1.67791
77.0043,77.1472,56.8945,0.0649142,5.58077,19.3873,83.1562,0.00144483,30.6451,44.568,34.6971,1.10388e-05,4.90593,18.7638,7.11237,1.38192e-08,1.6982,0.873576,5.99119,1.67793
77.0042,77.1472,56.8945,0.0649142,5.5803,19.3873,83.1562,0.00144483,30.645,44.568,34.6971,1.10497e-05,4.90546,18.7638,7.11237,1.38325e-08,1.69821,0.873576,5.99129,1.67793
77.0144,77.1472,56.8945,0.0649142,5.58072,19.3873,83.1562,0.00144483,30.6551,44.568,34.6971,1.10497e-05,4.90588,18.7638,7.11237,1.38325e-08,1.6982,0.873534,5.9912,1.67777
77.0066,77.1472,56.8945,0.0649142,5.58015,19.3873,83.1562,0.00144483,30.6474,44.568,34.6971,1.10497e-05,4.90532,18.7638,7.11237,1.38325e-08,1.69821,0.873566,5.99131,1.67789
77.0164,77.1472,56.8945,0.0649142,5.57941,19.3873,83.1562,0.00144483,30.6572,44.568,34.6971,1.10716e-05,4.90458,18.7638,7.11237,1.38591e-08,1.69822,0.873526,5.99146,1.67774
77.0175,77.1472,56.8945,0.0649142,5.57955,19.3873,83.1562,0.00144483,30.6582,44.568,34.6971,1.10497e-05,4.90471,18.7638,7.11237,1.38325e-08,1.69822,0.873521,5.99143,1.67773
77.017,77.1472,56.8945,0.0649142,5.57959,19.3873,83.1562,0.00144483,30.6578,44.568,34.6971,1.10388e-05,4.90475,18.7638,7.11237,1.38192e-08,1.69822,0.873523,5.99142,1.67773
77.0014,77.1472,56.8945,0.0649142,5.57981,19.3873,83.1562,0.00144483,30.6422,44.568,34.6971,1.10388e-05,4.90497,18.7638,7.11237,1.38192e-08,1.69822,0.873588,5.99138,1.67797
77.0031,77.1472,56.8945,0.0649142,5.5794,19.3873,83.1562,0.00144483,30.6439,44.568,34.6971,1.10497e-05,4.90456,18.7638,7.11237,1.38325e-08,1.69823,0.873581,5.99146,1.67795
76.9809,77.1472,56.8945,0.0649142,5.5793,19.3873,83.1562,0.00144483,30.6217,44.568,34.6971,1.10497e-05,4.90446,18.7638,7.11237,1.38325e-08,1.69823,0.873672,5.99148,1.67828
76.9748,77.1472,56.8945,0.0649142,5.57963,19.3873,83.1562,0.00144483,30.6155,44.568,34.6971,1.10606e-05,4.90479,18.7638,7.11237,1.38458e-08,1.69822,0.873698,5.99142,1.67838
76.9945,77.1472,56.8945,0.0649142,5.58149,19.3873,83.1562,0.00144483,30.6353,44.568,34.6971,1.10606e-05,4.90666,18.7638,7.11237,1.38459e-08,1.69819,0.873616,5.99105,1.67808
76.9963,77.1472,56.8945,0.0649142,5.58023,19.3873,83.1562,0.00144483,30.6371,44.568,34.6971,1.10497e-05,4.90539,18.7638,7.11237,1.38325e-08,1.69821,0.873609,5.9913,1.67805
76.9931,77.1472,56.8945,0.0649142,5.5803,19.3873,83.1562,0.00144483,30.6339,44.568,34.6971,1.10497e-05,4.90546,18.7638,7.11237,1.38325e-08,1.69821,0.873622,5.99129,1.6781
76.9935,77.1472,56.8945,0.0649142,5.58046,19.3873,83.1562,0.00144483,30.6343,44.568,34.6971,1.10606e-05,4.90563,18.7638,7.11237,1.38459e-08,1.69821,0.87362,5.99125,1.67809
76.9965,77.1472,56.8944,0.0649142,5.57873,19.3873,83.1562,0.00144483,30.6372,44.568,34.6971,1.10388e-05,4.90389,18.7638,7.11237,1.38192e-08,1.69824,0.873608,5.99159,1.67805
